FUND ID,NAME,VINTAGE / INCEPTION YEAR,DATE REPORTED,CALLED (%),DPI (%),RVPI (%),NET IRR (%),NET MULTIPLE (X),MEDIAN BENCHMARK NET IRR (%),PREQIN QUARTILE RANK,SOURCE,PE: PRIMARY STRATEGY,PRIMARY REGION FOCUS,LP
88316,Accel-KKR Growth Capital Partners III,2019,2024-09-30,93.213456,20.6787312,111.9721041,9.44,1.3265084,13.1973057,3.0,Los Angeles County Employees' Retirement Association,Growth,North America,Sloan Kettering Cancer Center
89436,Enlight Growth Partners L.P.,2019,2023-12-31,89.2,,128.15,24.0,,19.0,2.0,Enlight Growth Partners,,Asia,Sloan Kettering Cancer Center
88317,Axiom Asia Co-Investment Fund I,2018,2024-06-30,90.337848,24.6406534,106.8629485,7.6354448,1.315036,14.3,4.0,State Teachers' Retirement System of Ohio,Co-Investment Multi-Manager,Asia,Sloan Kettering Cancer Center
69966,General Atlantic Investment Partners 2017,2017,2024-06-30,119.6277429,59.7228522,100.556407,,1.6027926,17.45,3.0,Employees' Retirement System of the State of Hawaii,Growth,North America,Sloan Kettering Cancer Center
54598,Accel-KKR Capital Partners V,2016,2024-09-30,108.9032197,107.883155,125.5414679,28.585853,2.3342462,21.006542,2.0,Accel-KKR,Buyout,North America,Sloan Kettering Cancer Center
56431,Axiom Asia IV,2016,2024-06-30,88.5799773,61.9255129,117.2747165,12.4384857,1.7920023,9.55,1.0,State Teachers' Retirement System of Ohio,Fund of Funds,Asia,Sloan Kettering Cancer Center
49129,Centerbridge Capital Partners III,2015,2023-12-31,161.0533333,96.1441344,59.8269724,17.1,1.5597111,19.0,3.0,Maine Public Employees' Retirement System,Buyout,North America,Sloan Kettering Cancer Center
46860,Accel-KKR Growth Capital Partners II,2014,2024-09-30,111.5945914,181.1812233,51.4889967,28.9976996,2.3267022,24.0,2.0,Accel-KKR,Growth,North America,Sloan Kettering Cancer Center
40473,General Atlantic Investment Partners 2013,2013,2023-12-31,100.0,180.210615,43.3414799,20.6751647,2.2355209,11.95,2.0,General Atlantic,Growth,North America,Sloan Kettering Cancer Center
23142,Denham Commodity Partners Fund VI,2012,2024-06-30,118.1117455,56.8945029,44.5152625,0.31,1.0140977,13.7,4.0,Washington State Investment Board,Growth,North America,Sloan Kettering Cancer Center
30475,Axiom Asia III,2012,2024-06-30,85.0,204.5585944,128.8922136,,3.3345081,11.4,1.0,State Teachers' Retirement System of Ohio,Fund of Funds,Asia,Sloan Kettering Cancer Center
